SS18941,Stabilo Sensor F-tip Fineliner Pen Blue (Pack of 10) 189/41,15121,108,189/41,F,N,10,35.09,23.39,1,100011,4.01E+12,N.1,Unnamed: 14,SS18941.1,Stabilo,Stabilo.1,4,1.1,0.1,N.2,44121702,0,Stabilo Sensor F-tip Fline Blu Pk10,Unnamed: 25
,,,,,,N,,,,1,,,N,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,246210,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,774645,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,77470X,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,161528,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,316764,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,348736,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,348744,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,348752,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,354612,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,348728,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,348696,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,348688,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,348671,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,256203,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,256196,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,256188,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,132774,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,256211,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,256293,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,256285,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,256278,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,256236,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,256260,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,256252,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,256244,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,256228,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,216194,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,216186,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,216178,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,216145,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,102515,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,261328,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,127220,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,103055,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,219318,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,309640,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,309632,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,102475,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,Y,,,,1,,,Y,113844,,,,,1,,N,,0,,
,,,,,,Y,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,Y,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,Y,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,Y,,0,,
,,,,,,N,,,,1,,,Y,514195,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,347432,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,223918,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,223900,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,223893,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,223885,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,223878,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,223836,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,347424,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,347351,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,223860,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,223925,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,255151,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,124619,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,374135,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,374143,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,Y,,,,1,,,Y,,,,,,777,,N,,0,,
,,,,,,Y,,,,1,,,Y,,,,,,777,,N,,0,,
,,,,,,Y,,,,1,,,Y,,,,,,777,,N,,0,,
,,,,,,Y,,,,1,,,Y,,,,,,777,,N,,0,,
,,,,,,Y,,,,1,,,Y,,,,,,777,,N,,0,,
,,,,,,Y,,,,1,,,Y,125082,,,,,777,,N,,0,,
,,,,,,Y,,,,1,,,Y,,,,,,777,,N,,0,,
,,,,,,Y,,,,1,,,Y,,,,,,777,,N,,0,,
,,,,,,Y,,,,1,,,Y,,,,,,777,,N,,0,,
,,,,,,Y,,,,1,,,Y,,,,,,777,,N,,0,,
,,,,,,Y,,,,1,,,Y,125077,,,,,777,,N,,0,,
,,,,,,Y,,,,1,,,Y,,,,,,777,,N,,0,,
,,,,,,Y,,,,1,,,Y,,,,,,777,,N,,0,,
,,,,,,N,,,,1,,,Y,156177,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,273818,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,313826,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,997,,N,,0,,
,,,,,,Y,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,Y,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,Y,,0,,
,,,,,,N,,,,1,,,Y,272741,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,356352,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,Y,,,,1,,,Y,352046,,,,,1,,Y,,0,,
,,,,,,N,,,,1,,,Y,218841,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,255013,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,255005,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,254950,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,254942,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,348760,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,254934,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,254926,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,254918,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,254901,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,352038,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,352021,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,352013,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,352005,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,351991,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,132533,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,171410,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,306184,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,306176,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,101788,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,101784,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,101783,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,101773,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,450082,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,999,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,293981,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,293998,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,294003,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,294011,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,294118,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,294100,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,254342,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,360781,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,360798,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,360805,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,360773,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,254650,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,291600,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,291625,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,291618,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,291658,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,113685,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,113684,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,Y,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,101862,,,,,1,,N,,0,,
,,,,,,Y,,,,0,,,Y,101628,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,490554,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,470464,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,293502,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,293528,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,293510,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,293535,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,293543,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,470456,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,470431,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,274416,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,274408,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,Y,,,,0,,,Y,63835X,,,,,1,,Y,,0,,
,,,,,,Y,,,,1,,,Y,274262,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,124620,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,Y,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,377958,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,161358,,,,,1,,N,,0,,
,,,,,,Y,,,,1,,,Y,152477,,,,,28,,N,,0,,
,,,,,,Y,,,,1,,,Y,,,,,,28,,N,,0,,
,,,,,,N,,,,1,,,N,263724,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,343912,,,,,777,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,777,,N,,0,,
,,,,,,N,,,,1,,,Y,290946,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,290938,,,,,1,,N,,0,,
,,,,,,Y,,,,0,,,Y,272588,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,214616,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,203398,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,237360,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,278188,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,378596,,,,,1,,N,,0,,
,,,,,,Y,,,,0,,,Y,274254,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,254723,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,275785,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,292450,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,296473,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,296376,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,272822,,,,,1,,N,,0,,
,,,,,,Y,,,,1,,,N,377105,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,Y,,,,0,,,Y,328176,,,,,1,,N,,0,,
,,,,,,Y,,,,0,,,Y,328168,,,,,1,,N,,0,,
,,,,,,Y,,,,0,,,Y,328143,,,,,1,,N,,0,,
,,,,,,Y,,,,0,,,Y,328151,,,,,1,,N,,0,,
,,,,,,Y,,,,0,,,Y,328184,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,Y,,,,1,,,Y,,,,,,998,,Y,,0,,
,,,,,,Y,,,,1,,,Y,,,,,,1,,Y,,0,,
,,,,,,Y,,,,1,,,Y,,,,,,998,,Y,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,123469,,,,,1,,Y,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,Y,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,Y,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,362431,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,Y,,,,1,,,Y,,,,,,777,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,Y,,,,1,,,Y,,,,,,777,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,641305,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,358221,,,,,1,,N,,0,,
,,,,,,Y,,,,1,,,Y,,,,,,14,,N,,0,,
,,,,,,N,,,,1,,,Y,123643,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,123702,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,123706,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,123642,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,363005,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,Y,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,Y,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,Y,,,,1,,,Y,,,,,,1,,Y,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,Y,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,Y,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,Y,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,100163,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,100162,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,397941,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,475125,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,Y,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,Y,,,,1,,,Y,,,,,,15,,N,,0,,
,,,,,,N,,,,1,,,Y,123383,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,314384,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,103064,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,399713,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,399721,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,394411,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,390998,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,342836,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,N,,,,,,1,,N,,0,,
,,,,,,Y,,,,1,,,Y,395131,,,,,777,,N,,0,,
,,,,,,Y,,,,1,,,Y,395123,,,,,777,,N,,0,,
,,,,,,Y,,,,1,,,Y,395115,,,,,777,,N,,0,,
,,,,,,N,,,,1,,,Y,496381,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,496795,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,496810,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,496828,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,496843,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,489590,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,489655,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,N,,,,1,,,Y,,,,,,1,,N,,0,,
,,,,,,Y,,,,1,,,Y,,,,,,1,,Y,,0,,
,,,,,,Y,,,,1,,,Y,,,,,,1,,Y,,0,,
,,,,,,Y,,,,1,,,Y,,,,,,1,,Y,,0,,
